rank,company,industry,city,state,zip,website,employees,revenue_in_millions_usd,valuation_in_millions_usd,profits_in_millions_usd,profits_percent_of_sales,symbol,ceo
37,United Parcel Service,"Mail, Package and Freight Delivery",Atlanta,Georgia,30328,www.ups.com,404700,100338,166189,11548,11.5,UPS,Carol B. Tome
38,Pfizer,Pharmaceuticals,New York,New York,10001,www.pfizer.com,83000,100330,230292,31372,31.3,PFE,Albert Bourla
39,Lowe's,Specialty Retailers: Other,Mooresville,North Carolina,28117,www.lowes.com,244500,97059,119253,6437,6.6,LOW,Marvin R. Ellison
40,Johnson & Johnson,Pharmaceuticals,New Brunswick,New Jersey,8933,www.jnj.com,152700,94943,483576,17941,18.9,JNJ,
41,FedEx,"Mail, Package and Freight Delivery",Memphis,Tennessee,38120,www.fedex.com,464400,93512,57431,3826,4.1,FDX,Raj Subramaniam
42,Humana,Health Care: Insurance and Managed Care,Louisville,Kentucky,40202,www.humana.com,67100,92870,60719,2806,3,HUM,Bruce D. Broussard
43,Energy Transfer,Pipelines,Dallas,Texas,75225,www.energytransfer.com,12565,89876,38590,4756,5.3,ET,Thomas E. Long
44,State Farm Insurance,Insurance: Property and Casualty (Mutual),Bloomington,Illinois,61710,www.statefarm.com,60519,89328,,-6654,-7.4,,Michael L. Tipsord
45,Freddie Mac,Diversified Financials,McLean,Virginia,22102,www.freddiemac.com,7819,86717,266,9327,10.8,FMCC,Michael Devito
46,PepsiCo,Food Consumer Products,Purchase,New York,10577,www.pepsico.com,315000,86392,251085,8910,10.3,PEP,Ramon L. Laguarta
47,Wells Fargo,Commercial Banks,San Francisco,California,94104,www.wellsfargo.com,238000,82859,141188,13182,15.9,WFC,Charles W. Scharf
48,Walt Disney,Entertainment,Burbank,California,91521,www.thewaltdisneycompany.com,195800,82722,182920,3145,3.8,DIS,Robert A. Chapek
49,ConocoPhillips,"Mining, Crude-Oil Production",Houston,Texas,77079,www.conocophillips.com,9500,82156,120777,18680,22.7,COP,Ryan M. Lance
50,Tesla,Motor Vehicles & Parts,Austin,Texas,78725,www.tesla.com,127855,81462,656425,12556,15.4,TSLA,
51,Procter & Gamble,Household and Personal Products,Cincinnati,Ohio,45202,www.pg.com,106000,80187,350781,14742,18.4,PG,Jon R. Moeller
52,General Electric,Industrial Machinery,Boston,Massachusetts,2210,www.ge.com,172000,76555,104231,225,0.3,GE,Lawrence Culp
53,Albertsons,Food and Drug Stores,Boise,Idaho,83706,www.albertsonscompanies.com,195750,71887,11132,1620,2.3,ACI,Vivek Sankaran
54,MetLife,"Insurance: Life, Health (Stock)",New York,New York,10166,www.metlife.com,45000,69898,44867,2539,3.6,MET,Michel A. Khalaf
55,Goldman Sachs Group,Commercial Banks,New York,New York,10282,www.goldmansachs.com,48500,68711,113964,11261,16.4,GS,David M. Solomon
56,Sysco,Wholesalers: Food and Grocery,Houston,Texas,77077,www.sysco.com,70510,68636,39202,1359,2,SYY,Kevin P. Hourican
57,Raytheon Technologies,Aerospace & Defense,Arlington,Virginia,22209,www.rtx.com,182000,67074,143292,5197,7.7,RTX,Gregory J. Hayes
58,Boeing,Aerospace & Defense,Arlington,Virginia,22202,www.boeing.com,156000,66608,127283,-4935,-7.4,BA,David L. Calhoun
59,StoneX Group,Diversified Financials,New York,New York,10169,www.stonex.com,3615,66036,2138,207,0.3,SNEX,Sean M. O'Connor
60,Lockheed Martin,Aerospace & Defense,Bethesda,Maryland,20817,www.lockheedmartin.com,116000,65984,120319,5732,8.7,LMT,Jim Taiclet
61,Morgan Stanley,Commercial Banks,New York,New York,10036,www.morganstanley.com,82427,65936,147674,11029,16.7,MS,James P. Gorman
62,Intel,Semiconductors and Other Electronic Components,Santa Clara,California,95054,www.intel.com,131900,63054,136268,8014,12.7,INTC,Patrick P. Gelsinger
63,HP,"Computers, Office Equipment",Palo Alto,California,94304,www.hp.com,58000,62983,28919,3203,5.1,HPQ,Enrique J. Lores
64,TD Synnex,Wholesalers: Electronics and Office Equipment,Fremont,California,94538,www.tdsynnex.com,28500,62344,9061,651,1,SNX,Richard T. Hume
65,International Business Machines,Information Technology Services,Armonk,New York,10504,www.ibm.com,303100,60530,118913,1639,2.7,IBM,Arvind Krishna
66,HCA Healthcare,Health Care: Medical Facilities,Nashville,Tennessee,37203,www.hcahealthcare.com,250500,60233,73107,5643,9.4,HCA,Samuel N. Hazen
67,Prudential Financial,"Insurance: Life, Health (Stock)",Newark,New Jersey,7102,www.prudential.com,39583,60050,30363,-1438,-2.4,PRU,Charles F. Lowrey
68,Caterpillar,Construction and Farm Machinery,Irving,Texas,75039,www.caterpillar.com,109100,59427,118161,6705,11.3,CAT,Jim Umpleby
69,Merck,Pharmaceuticals,Rahway,New Jersey,7065,www.merck.com,68000,59283,270081,14519,24.5,MRK,
70,World Fuel Services,Energy,Miami,Florida,33178,www.wfscorp.com,5214,59043,1585,114,0.2,INT,Michael J. Kasbar
