rank,company,industry,city,state,zip,website,employees,revenue_in_millions_usd,valuation_in_millions_usd,profits_in_millions_usd,profits_percent_of_sales,symbol,ceo
426,Arconic,Metals,Pittsburgh,Pennsylvania,15212,www.arconic.com,11550,8961,2607,-182,-2,ARNC,Timothy D. Myers
427,Vertex Pharmaceuticals,Pharmaceuticals,Boston,Massachusetts,2210,www.vrtx.com,4800,8931,81002,3322,37.2,VRTX,Reshma Kewalramani
428,Commercial Metals,Metals,Irving,Texas,75039,www.cmc.com,12483,8914,5727,1217,13.7,CMC,Barbara R. Smith
429,Autoliv,Motor Vehicles & Parts,Auburn Hills,Michigan,48326,www.autoliv.com,65300,8842,8013,423,4.8,ALV,Mikael Bratt
430,Constellation Brands,Beverages,Victor,New York,14564,www.cbrands.com,10000,8821,41688,-40,-0.5,STZ,Bill Newlands
431,Hilton Worldwide Holdings,"Hotels, Casinos, Resorts",McLean,Virginia,22102,www.hilton.com,159000,8773,37535,1255,14.3,HLT,Christopher J. Nassetta
432,Foot Locker,Specialty Retailers: Apparel,New York,New York,10001,www.footlocker.com/corp,31040,8759,3708,342,3.9,FL,Mary N. Dillon
433,Huntsman,Chemicals,The Woodlands,Texas,77380,www.huntsman.com,7000,8715,5025,460,5.3,HUN,Peter R. Huntsman
434,Burlington Stores,Specialty Retailers: Apparel,Burlington,New Jersey,8016,www.burlingtoninvestors.com,38018,8703,13123,230,2.6,BURL,Michael B. O’Sullivan
435,Hertz Global Holdings,"Automotive Retailing, Services",Estero,Florida,33928,www.hertz.com,25000,8685,5252,2059,23.7,HTZ,Stephen M. Scherr
436,Masco,"Home Equipment, Furnishings",Livonia,Michigan,48152,www.masco.com,19000,8680,11207,844,9.7,MAS,Keith J. Allman
437,Williams-Sonoma,Specialty Retailers: Other,San Francisco,California,94109,www.williams-sonomainc.com,16800,8674,8057,1128,13,WSM,Laura J. Alber
438,Chipotle Mexican Grill,Food Services,Newport Beach,California,92660,www.chipotle.com,104958,8635,47186,899,10.4,CMG,Brian R. Niccol
439,M&T Bank,Commercial Banks,Buffalo,New York,14203,www.mtb.com,22509,8604,20093,1992,23.1,MTB,Rene F. Jones
440,LPL Financial Holdings,Securities,San Diego,California,92121,www.lpl.com,6415,8601,15914,846,9.8,LPLA,Dan H. Arnold
441,CMS Energy,Utilities: Gas and Electric,Jackson,Michigan,49201,www.cmsenergy.com,8817,8596,17902,837,9.7,CMS,Garrick J. Rochow
442,Campbell Soup,Food Consumer Products,Camden,New Jersey,8103,www.campbellsoupcompany.com,14700,8562,16465,757,8.8,CPB,Mark A. Clouse
443,Arthur J. Gallagher,Diversified Financials,Rolling Meadows,Illinois,60008,www.ajg.com,43640,8551,40955,1114,13,AJG,Patrick Gallagher
444,Blackstone,Diversified Financials,New York,New York,10154,www.blackstone.com,4695,8518,62048,1748,20.5,BX,Stephen A. Schwarzman
445,Dover,Industrial Machinery,Downers Grove,Illinois,60515,www.dovercorporation.com,25000,8508,21237,1065,12.5,DOV,Richard J. Tobin
446,ODP,Specialty Retailers: Other,Boca Raton,Florida,33496,www.theodpcorp.com,25000,8491,1806,166,2,ODP,Gerry P. Smith
447,Packaging Corp. of America,"Packaging, Containers",Lake Forest,Illinois,60045,www.packagingcorp.com,15100,8478,12479,1030,12.1,PKG,Mark W. Kowlzan
448,Brighthouse Financial,"Insurance: Life, Health (Stock)",Charlotte,North Carolina,28277,www.brighthousefinancial.com,1500,8473,2986,5,0.1,BHF,
449,Beacon Roofing Supply,Wholesalers: Diversified,Herndon,Virginia,20170,www.becn.com,7478,8430,3781,458,5.4,BECN,Julian G. Francis
450,Airbnb,Internet Services and Retailing,San Francisco,California,94103,www.airbnb.com,6811,8399,79682,1893,22.5,ABNB,Brian Chesky
451,Boise Cascade,Wholesalers: Diversified,Boise,Idaho,83702,www.bc.com,6840,8387,2506,858,10.2,BCC,
452,Booz Allen Hamilton Holding,Information Technology Services,McLean,Virginia,22102,www.boozallen.com,29300,8364,12261,467,5.6,BAH,Horacio D. Rozanski
453,Westinghouse Air Brake Technologies,Industrial Machinery,Pittsburgh,Pennsylvania,15212,www.wabteccorp.com,27000,8362,18226,633,7.6,WAB,Rafael O. Santana
454,ON Semiconductor,Semiconductors and Other Electronic Components,Scottsdale,Arizona,85250,www.onsemi.com,31055,8326,35560,1902,22.8,ON,Hassane El-Khoury
455,Oshkosh,Construction and Farm Machinery,Oshkosh,Wisconsin,54902,www.oshkoshcorp.com,15000,8282,5445,174,2.1,OSK,John C. Pfeifer
456,Franklin Resources,Securities,San Mateo,California,94403,www.franklinresources.com,9800,8275,13480,1292,15.6,BEN,Jenny Johnson
457,Taylor Morrison Home,Homebuilders,Scottsdale,Arizona,85251,www.taylormorrison.com,3000,8225,4144,1053,12.8,TMHC,Sheryl D. Palmer
458,A-Mark Precious Metals,Wholesalers: Diversified,El Segundo,California,90245,www.amark.com,381,8159,815,133,1.6,AMRK,Gregory N. Roberts
459,KeyCorp,Commercial Banks,Cleveland,Ohio,44114,www.key.com,17660,8130,11579,1917,23.6,KEY,Christopher M. Gorman
460,ARKO,Specialty Retailers: Other,Richmond,Virginia,23227,www.arkocorp.com,12223,8128,1020,72,0.9,ARKO,Arie Kotler
461,Lululemon athletica,Specialty Retailers: Apparel,Sumner,Washington,98390,www.lululemon.com,34000,8111,46312,855,10.5,LULU,Calvin Mcdonald
462,Old Republic International,Insurance: Property and Casualty (Stock),Chicago,Illinois,60601,www.oldrepublic.com,9500,8084,7399,686,8.5,ORI,Craig R. Smiddy
463,Zoetis,Pharmaceuticals,Parsippany,New Jersey,7054,www.zoetis.com,13800,8080,77053,2114,26.2,ZTS,Kristin C. Peck
464,Marathon Oil,"Mining, Crude-Oil Production",Houston,Texas,77024,www.marathonoil.com,1570,8036,15087,3612,44.9,MRO,Lee M. Tillman
465,J.M. Smucker,Food Consumer Products,Orrville,Ohio,44667,www.jmsmucker.com,6700,7999,16781,632,7.9,SJM,Mark T. Smucker
466,Huntington Bancshares,Commercial Banks,Columbus,Ohio,43287,www.huntington.com,19920,7950,16236,2238,28.2,HBAN,Stephen D. Steinour
467,NGL Energy Partners,Pipelines,Tulsa,Oklahoma,74136,www.nglenergypartners.com,842,7948,381,-185,-2.3,NGL,Michael Krimbill
468,Ingredion,Food Production,Westchester,Illinois,60154,www.ingredion.com,11700,7946,6711,492,6.2,INGR,James (Jim) Zallie
469,Fortune Brands Innovations,"Building Materials, Glass",Deerfield,Illinois,60015,www.fbin.com,11200,7923,7457,687,8.7,FBIN,Nicholas Fink
470,PPL,Utilities: Gas and Electric,Allentown,Pennsylvania,18101,www.pplweb.com,6527,7902,20472,756,9.6,PPL,Vincent Sorgi
471,Sanmina,Semiconductors and Other Electronic Components,San Jose,California,95134,www.sanmina.com,36000,7891,3559,256,3.2,SANM,Jure Sola
472,Bed Bath & Beyond,Specialty Retailers: Other,Union,New Jersey,7083,www.bedbathandbeyond.com,32000,7868,183,-560,-7.1,BBBY,Sue E. Gove
473,Cintas,Diversified Outsourcing Services,Cincinnati,Ohio,45262,www.cintas.com,43000,7855,47042,1236,15.7,CTAS,Todd M. Schneider
474,NCR,"Computers, Office Equipment",Atlanta,Georgia,30308,www.ncr.com,35000,7844,3304,60,0.8,NCR,Michael Hayford
475,ABM Industries,Diversified Outsourcing Services,New York,New York,10006,www.abm.com,127000,7807,2971,230,3,ABM,Scott B. Salmirs
476,Rockwell Automation,"Electronics, Electrical Equip.",Milwaukee,Wisconsin,53204,www.rockwellautomation.com,26000,7760,33683,932,12,ROK,Blake D. Moret
477,Northern Trust,Commercial Banks,Chicago,Illinois,60603,www.northerntrust.com,23600,7752,18309,1336,17.2,NTRS,Michael G. O'Grady
478,XPO,Transportation and Logistics,Greenwich,Connecticut,6831,www.xpo.com,39500,7718,3685,666,8.6,XPO,Mario A. Harik
479,Science Applications International,Information Technology Services,Reston,Virginia,20190,www.saic.com,25000,7704,5871,300,3.9,SAIC,Nazzic S. Keene
480,Ameren,Utilities: Gas and Electric,St. Louis,Missouri,63103,www.ameren.com,9244,7662,22675,1074,14,AEE,Martin J. Lyons Jr.
481,First American Financial,Insurance: Property and Casualty (Stock),Santa Ana,California,92707,www.firstam.com,21153,7605,5750,263,3.5,FAF,Kenneth D. Degiorgio
482,Bath & Body Works,Specialty Retailers: Other,Columbus,Ohio,43230,www.bbwinc.com,33000,7560,8368,800,10.6,BBWI,Gina Boswell
483,Regions Financial,Commercial Banks,Birmingham,Alabama,35203,www.regions.com,20073,7531,17346,2245,29.8,RF,John M. Turner Jr.
484,Activision Blizzard,Entertainment,Santa Monica,California,90404,www.activisionblizzard.com,13000,7528,67126,1513,20.1,ATVI,Bobby Kotick
485,Avantor,"Scientific, Photographic and Control Equipment",Radnor,Pennsylvania,19087,www.avantorsciences.com,14500,7512,14271,687,9.1,AVTR,Michael Stubblefield
486,Genworth Financial,"Insurance: Life, Health (Stock)",Richmond,Virginia,23230,www.genworth.com,2500,7507,2477,609,8.1,GNW,Thomas J. Mcinerney
487,EQT,Energy,Pittsburgh,Pennsylvania,15222,www.eqt.com,744,7498,11499,1771,23.6,EQT,Toby Z. Rice
488,Skechers U.S.A.,Apparel,Manhattan Beach,California,90266,www.skechers.com,11450,7445,7379,373,5,SKX,Robert Greenberg
489,Landstar System,"Trucking, Truck Leasing",Jacksonville,Florida,32224,www.landstar.com,1449,7440,6457,431,5.8,LSTR,James B. Gattoni
490,Knight-Swift Transportation Holdings,"Trucking, Truck Leasing",Phoenix,Arizona,85027,www.knight-swift.com,28300,7429,9106,771,10.4,KNX,David A. Jackson
491,SVB Financial Group,Commercial Banks,Santa Clara,California,95054,www.svb.com,8553,7401,54,1672,22.6,SIVBQ,William Kosturos
492,Par Pacific Holdings,Petroleum Refining,Houston,Texas,77024,www.parpacific.com,1397,7322,1773,364,5,PARR,William C. Pate
493,Albemarle,Chemicals,Charlotte,North Carolina,28209,www.albemarle.com,7400,7320,25928,2690,36.7,ALB,Kent Masters
494,Vulcan Materials,"Building Materials, Glass",Birmingham,Alabama,35242,www.vulcanmaterials.com,11974,7315,22827,576,7.9,VMC,Thomas Hill
495,Watsco,Wholesalers: Diversified,Miami,Florida,33133,www.watsco.com,7238,7274,12354,601,8.3,WSO,Albert H. Nahmad
496,KKR,Securities,New York,New York,10001,www.kkr.com,4150,7273,45225,-841,-11.6,KKR,Joseph Y. Bae
497,Equinix,Real Estate,Redwood City,California,94065,www.equinix.com,12097,7263,66873,704,9.7,EQIX,Charles Meyers
498,Sonoco Products,"Packaging, Containers",Hartsville,South Carolina,29550,www.sonoco.com,22000,7251,5975,466,6.4,SON,Howard Coker
499,ServiceNow,Computer Software,Santa Clara,California,95054,www.servicenow.com,20433,7245,94338,325,4.5,NOW,Bill Mcdermott
500,Robert Half International,Temporary Help,Menlo Park,California,94025,www.roberthalf.com,16300,7238,8677,658,9.1,RHI,Keith Waddell
